https://www.indeed.com/jobs?q=data+scientist&l=New+York%2C+NY&from=searchOnHP&vjk=26a6924bb59873b4,10/8/2024 20:22,"R, SQL, Python, Data Visualization, Machine Learning, Statistical Analysis, Data Mining, Hadoop, Spark, Relational Databases, Project Management, Leadership, Git, Java, Data Science, Analytics","Senior Data Scientist, Decision Sciences",NBC Universal,Media and Entertainment
https://www.indeed.com/jobs?q=data+scientist&l=New+York%2C+NY&from=searchOnHP&vjk=7c45500a7feedb5e,10/8/2024 20:26,"R, SQL, Python, Data Analysis, Data Visualization, Machine Learning, Statistical Analysis, Critical Thinking, Data Science, Analytics","Staff Data Scientist, Search",Google,Tech
https://www.indeed.com/jobs?q=data+scientist&l=New+York%2C+NY&from=searchOnHP&vjk=41b9d84df3cdeb15,10/8/2024 20:56,"C, C++, SQL, Python, Data Analysis, Data Visualization, Machine Learning, Statistical Analysis, Spark, Critical Thinking, Tableau, Pandas, Scikit-Learn, Feature Engineering, Web Scraping, Software Development, MLOps, Data Science, Analytics, Automation, Feature Selection",Customer Facing Data Scientist,Explorium,Tech
https://www.indeed.com/jobs?q=data+scientist&l=New+York%2C+NY&from=searchOnHP&vjk=2bab98cf98ac2c23,10/10/2024 10:46,"Python, Data Analysis, Data Visualization, Machine Learning, Matplotlib, Seaborn, Git, Data Science, Analytics",Senior Data Scientist,West Coast Consulting,Tech
https://www.indeed.com/jobs?q=data+scientist&l=New+York%2C+NY&from=searchOnHP&vjk=bc3912859daaf1ef,10/10/2024 10:48,"R, C, C++, SQL, Python, Data Visualization, Machine Learning, Statistical Analysis, Predictive Modeling, Big Data, Azure, Communication, Business Intelligence, Excel, Scikit-Learn, TensorFlow, PyTorch, C#, Data Science, Analytics, Mentoring, Innovation","Data Scientist, Corporate",Oak View Group,Sports and Events
https://www.indeed.com/jobs?q=data+scientist&l=New+York%2C+NY&from=searchOnHP&vjk=9fd9ee455e6c924b,10/10/2024 10:49,"SQL, Python, Data Visualization, Machine Learning, Natural Language Processing, Neural Networks, Reinforcement Learning, Data Engineering, Azure, Data Modeling, Project Management, Communication, Leadership, Excel, TensorFlow, Keras, PyTorch, Git, MLOps, Data Science, Analytics, Stakeholder Management, Automation, Innovation",Senior Data Scientist,Amex,Finance
https://www.indeed.com/jobs?q=data+scientist&l=New+York%2C+NY&from=searchOnHP&vjk=1e01be32ee06a2f3,10/10/2024 10:54,"SQL, Python, Data Visualization, Machine Learning, Statistical Analysis, Predictive Modeling, MySQL, Attention to Detail, Power BI, Tableau, Excel, Data Science, Analytics","Data Analyst, People Data Solutions",Meta,Tech
https://www.indeed.com/jobs?q=data+scientist&l=New+York%2C+NY&from=searchOnHP&vjk=dacc5396d455a351,10/10/2024 10:55,"SQL, Python, Data Visualization, Machine Learning, Artificial Intelligence, Communication, Time Management, Leadership, Presentation Skills, Business Intelligence, Tableau, Excel, Git, Data Science, Analytics",Data Analytics Lead,Meta,Tech
https://www.indeed.com/jobs?q=data+scientist&l=New+York%2C+NY&start=10&vjk=f69b306abb0df3a5&advn=5989917549446440,10/10/2024 10:58,"R, SQL, Python, Data Analysis, Machine Learning, Data Mining, Big Data, Cloud Computing, Relational Databases, Project Management, Critical Thinking, Leadership, Tableau, Excel, Data Science, Analytics, Innovation",Senior Data Analyst- Strategic Accounts,Rokt,Marketing and Advertising
https://www.indeed.com/jobs?q=data+scientist&l=New+York%2C+NY&start=10&vjk=af6e4204239bd331,10/10/2024 11:35,"R, SQL, Python, Data Analysis, Machine Learning, Statistical Analysis, Artificial Intelligence, Data Mining, Critical Thinking, Leadership, Data Science, Analytics","Data Scientist III, Product",Google,Tech
